,"bioguide","first","first_last","icpsr","last","opensecrets","term_count","term_end","term_start","type","cycle"
8,"B000944","Sherrod","Sherrod Brown",29389,"Brown","N00003535",9,"2019-01-03","2013-01-03","sen",2012
9,"B000944","Sherrod","Sherrod Brown",29389,"Brown","N00003535",10,"2025-01-03","2019-01-03","sen",2018
13,"C000127","Maria","Maria Cantwell",39310,"Cantwell","N00007836",4,"2019-01-03","2013-01-03","sen",2012
14,"C000127","Maria","Maria Cantwell",39310,"Cantwell","N00007836",5,"2025-01-03","2019-01-03","sen",2018
26,"C000141","Benjamin","Benjamin L. Cardin",15408,"Cardin","N00001955",12,"2019-01-03","2013-01-03","sen",2012
27,"C000141","Benjamin","Benjamin L. Cardin",15408,"Cardin","N00001955",13,"2025-01-03","2019-01-03","sen",2018
35,"C000174","Thomas","Thomas R. Carper",15015,"Carper","N00012508",8,"2019-01-03","2013-01-03","sen",2012
36,"C000174","Thomas","Thomas R. Carper",15015,"Carper","N00012508",9,"2025-01-03","2019-01-03","sen",2018
38,"C001070","Robert","Robert P. Casey, Jr.",40703,"Casey","N00027503",2,"2019-01-03","2013-01-03","sen",2012
39,"C001070","Robert","Robert P. Casey, Jr.",40703,"Casey","N00027503",3,"2025-01-03","2019-01-03","sen",2018
44,"F000062","Dianne","Dianne Feinstein",49300,"Feinstein","N00007364",5,"2019-01-03","2013-01-03","sen",2012
45,"F000062","Dianne","Dianne Feinstein",49300,"Feinstein","N00007364",6,"2025-01-03","2019-01-03","sen",2018
47,"K000367","Amy","Amy Klobuchar",40700,"Klobuchar","N00027500",2,"2019-01-03","2013-01-03","sen",2012
48,"K000367","Amy","Amy Klobuchar",40700,"Klobuchar","N00027500",3,"2025-01-03","2019-01-03","sen",2018
58,"M000639","Robert","Robert Menendez",29373,"Menendez","N00000699",10,"2019-01-03","2013-01-03","sen",2012
59,"M000639","Robert","Robert Menendez",29373,"Menendez","N00000699",11,"2025-01-03","2019-01-03","sen",2018
69,"S000033","Bernard","Bernard Sanders",29147,"Sanders","N00000528",10,"2019-01-03","2013-01-03","sen",2012
70,"S000033","Bernard","Bernard Sanders",29147,"Sanders","N00000528",11,"2025-01-03","2019-01-03","sen",2018
75,"S000770","Debbie","Debbie Stabenow",29732,"Stabenow","N00004118",5,"2019-01-03","2013-01-03","sen",2012
76,"S000770","Debbie","Debbie Stabenow",29732,"Stabenow","N00004118",6,"2025-01-03","2019-01-03","sen",2018
78,"T000464","Jon","Jon Tester",40702,"Tester","N00027605",2,"2019-01-03","2013-01-03","sen",2012
79,"T000464","Jon","Jon Tester",40702,"Tester","N00027605",3,"2025-01-03","2019-01-03","sen",2018
81,"W000802","Sheldon","Sheldon Whitehouse",40704,"Whitehouse","N00027533",2,"2019-01-03","2013-01-03","sen",2012
82,"W000802","Sheldon","Sheldon Whitehouse",40704,"Whitehouse","N00027533",3,"2025-01-03","2019-01-03","sen",2018
84,"B001261","John","John Barrasso",40707,"Barrasso","N00006236",2,"2019-01-03","2013-01-03","sen",2012
85,"B001261","John","John Barrasso",40707,"Barrasso","N00006236",3,"2025-01-03","2019-01-03","sen",2018
94,"W000437","Roger","Roger F. Wicker",29534,"Wicker","N00003280",9,"2019-01-03","2013-01-03","sen",2012
95,"W000437","Roger","Roger F. Wicker",29534,"Wicker","N00003280",10,"2025-01-03","2019-01-03","sen",2018
98,"A000360","Lamar","Lamar Alexander",40304,"Alexander","N00009888",3,"2021-01-03","2015-01-06","sen",2014
102,"C001035","Susan","Susan M. Collins",49703,"Collins","N00000491",4,"2021-01-03","2015-01-06","sen",2014
106,"C001056","John","John Cornyn",40305,"Cornyn","N00024852",4,"2021-01-03","2015-01-06","sen",2014
117,"D000563","Richard","Richard J. Durbin",15021,"Durbin","N00004981",11,"2021-01-03","2015-01-06","sen",2014
121,"E000285","Michael","Michael B. Enzi",49706,"Enzi","N00006249",4,"2021-01-03","2015-01-06","sen",2014
128,"G000359","Lindsey","Lindsey Graham",29566,"Graham","N00009975",7,"2021-01-03","2015-01-06","sen",2014
137,"I000024","James","James M. Inhofe",15424,"Inhofe","N00005582",9,"2021-01-03","2015-01-06","sen",2014
143,"M000355","Mitch","Mitch McConnell",14921,"McConnell","N00003389",6,"2021-01-03","2015-01-06","sen",2014
145,"M001176","Jeff","Jeff Merkley",40908,"Merkley","N00029303",2,"2021-01-03","2015-01-06","sen",2014
152,"R000122","John","Jack Reed",29142,"Reed","N00000362",7,"2021-01-03","2015-01-06","sen",2014
154,"R000584","James","James E. Risch",40902,"Risch","N00029441",2,"2021-01-03","2015-01-06","sen",2014
166,"R000307","Pat","Pat Roberts",14852,"Roberts","N00005285",12,"2021-01-03","2015-01-06","sen",2014
168,"S001181","Jeanne","Jeanne Shaheen",40906,"Shaheen","N00024790",2,"2021-01-03","2015-01-06","sen",2014
175,"U000039","Tom","Tom Udall",29924,"Udall","N00006561",7,"2021-01-03","2015-01-06","sen",2014
177,"W000805","Mark","Mark R. Warner",40909,"Warner","N00002097",2,"2021-01-03","2015-01-06","sen",2014
181,"G000555","Kirsten","Kirsten E. Gillibrand",20735,"Gillibrand","N00027658",4,"2019-01-03","2013-01-03","sen",2012
182,"G000555","Kirsten","Kirsten E. Gillibrand",20735,"Gillibrand","N00027658",5,"2025-01-03","2019-01-03","sen",2018
183,"C001088","Chris","Christopher A. Coons",40916,"Coons","N00031820",1,"2015-01-03","2010-11-15","sen",2009
184,"C001088","Chris","Christopher A. Coons",40916,"Coons","N00031820",2,"2021-01-03","2015-01-06","sen",2014
185,"M001183","Joe","Joe Manchin, III",40915,"Manchin","N00032838",1,"2013-01-03","2010-11-15","sen",2009
186,"M001183","Joe","Joe Manchin, III",40915,"Manchin","N00032838",2,"2019-01-03","2013-01-03","sen",2012
187,"M001183","Joe","Joe Manchin, III",40915,"Manchin","N00032838",3,"2025-01-03","2019-01-03","sen",2018
195,"A000055","Robert","Robert B. Aderholt",29701,"Aderholt","N00003028",8,"2013-01-03","2011-01-05","rep",2010
196,"A000055","Robert","Robert B. Aderholt",29701,"Aderholt","N00003028",9,"2015-01-03","2013-01-03","rep",2012
197,"A000055","Robert","Robert B. Aderholt",29701,"Aderholt","N00003028",10,"2017-01-03","2015-01-06","rep",2014
198,"A000055","Robert","Robert B. Aderholt",29701,"Aderholt","N00003028",11,"2019-01-03","2017-01-03","rep",2016
199,"A000055","Robert","Robert B. Aderholt",29701,"Aderholt","N00003028",12,"2021-01-03","2019-01-03","rep",2018
200,"A000367","Justin","Justin Amash",21143,"Amash","N00031938",1,"2013-01-03","2011-01-05","rep",2010
201,"A000367","Justin","Justin Amash",21143,"Amash","N00031938",2,"2015-01-03","2013-01-03","rep",2012
202,"A000367","Justin","Justin Amash",21143,"Amash","N00031938",3,"2017-01-03","2015-01-06","rep",2014
203,"A000367","Justin","Justin Amash",21143,"Amash","N00031938",4,"2019-01-03","2017-01-03","rep",2016
204,"A000367","Justin","Justin Amash",21143,"Amash","N00031938",5,"2021-01-03","2019-01-03","rep",2018
211,"B001230","Tammy","Tammy Baldwin",29940,"Baldwin","N00004367",7,"2013-01-03","2011-01-05","rep",2010
212,"B001230","Tammy","Tammy Baldwin",29940,"Baldwin","N00004367",8,"2019-01-03","2013-01-03","sen",2012
213,"B001230","Tammy","Tammy Baldwin",29940,"Baldwin","N00004367",9,"2025-01-03","2019-01-03","sen",2018
214,"B001270","Karen","Karen Bass",21110,"Bass","N00031877",1,"2013-01-03","2011-01-05","rep",2010
215,"B001270","Karen","Karen Bass",21110,"Bass","N00031877",2,"2015-01-03","2013-01-03","rep",2012
216,"B001270","Karen","Karen Bass",21110,"Bass","N00031877",3,"2017-01-03","2015-01-06","rep",2014
217,"B001270","Karen","Karen Bass",21110,"Bass","N00031877",4,"2019-01-03","2017-01-03","rep",2016
218,"B001270","Karen","Karen Bass",21110,"Bass","N00031877",5,"2021-01-03","2019-01-03","rep",2018
220,"B001267","Michael","Michael F. Bennet",40910,"Bennet","N00030608",2,"2017-01-03","2011-01-05","sen",2010
221,"B001267","Michael","Michael F. Bennet",40910,"Bennet","N00030608",3,"2023-01-03","2017-01-03","sen",2016
224,"B001257","Gus","Gus M. Bilirakis",20758,"Bilirakis","N00027462",3,"2013-01-03","2011-01-05","rep",2010
225,"B001257","Gus","Gus M. Bilirakis",20758,"Bilirakis","N00027462",4,"2015-01-03","2013-01-03","rep",2012
226,"B001257","Gus","Gus M. Bilirakis",20758,"Bilirakis","N00027462",5,"2017-01-03","2015-01-06","rep",2014
227,"B001257","Gus","Gus M. Bilirakis",20758,"Bilirakis","N00027462",6,"2019-01-03","2017-01-03","rep",2016
228,"B001257","Gus","Gus M. Bilirakis",20758,"Bilirakis","N00027462",7,"2021-01-03","2019-01-03","rep",2018
233,"B001250","Rob","Rob Bishop",20357,"Bishop","N00025292",5,"2013-01-03","2011-01-05","rep",2010
234,"B001250","Rob","Rob Bishop",20357,"Bishop","N00025292",6,"2015-01-03","2013-01-03","rep",2012
235,"B001250","Rob","Rob Bishop",20357,"Bishop","N00025292",7,"2017-01-03","2015-01-06","rep",2014
236,"B001250","Rob","Rob Bishop",20357,"Bishop","N00025292",8,"2019-01-03","2017-01-03","rep",2016
237,"B001250","Rob","Rob Bishop",20357,"Bishop","N00025292",9,"2021-01-03","2019-01-03","rep",2018
247,"B000490","Sanford","Sanford D. Bishop, Jr.",29339,"Bishop","N00002674",10,"2013-01-03","2011-01-05","rep",2010
248,"B000490","Sanford","Sanford D. Bishop, Jr.",29339,"Bishop","N00002674",11,"2015-01-03","2013-01-03","rep",2012
249,"B000490","Sanford","Sanford D. Bishop, Jr.",29339,"Bishop","N00002674",12,"2017-01-03","2015-01-06","rep",2014
250,"B000490","Sanford","Sanford D. Bishop, Jr.",29339,"Bishop","N00002674",13,"2019-01-03","2017-01-03","rep",2016
251,"B000490","Sanford","Sanford D. Bishop, Jr.",29339,"Bishop","N00002674",14,"2021-01-03","2019-01-03","rep",2018
256,"B001243","Marsha","Marsha Blackburn",20351,"Blackburn","N00003105",5,"2013-01-03","2011-01-05","rep",2010
257,"B001243","Marsha","Marsha Blackburn",20351,"Blackburn","N00003105",6,"2015-01-03","2013-01-03","rep",2012
258,"B001243","Marsha","Marsha Blackburn",20351,"Blackburn","N00003105",7,"2017-01-03","2015-01-06","rep",2014
259,"B001243","Marsha","Marsha Blackburn",20351,"Blackburn","N00003105",8,"2019-01-03","2017-01-03","rep",2016
260,"B001243","Marsha","Marsha Blackburn",20351,"Blackburn","N00003105",9,"2025-01-03","2019-01-03","sen",2018
269,"B000574","Earl","Earl Blumenauer",29588,"Blumenauer","N00007727",9,"2013-01-03","2011-01-05","rep",2010
270,"B000574","Earl","Earl Blumenauer",29588,"Blumenauer","N00007727",10,"2015-01-03","2013-01-03","rep",2012
271,"B000574","Earl","Earl Blumenauer",29588,"Blumenauer","N00007727",11,"2017-01-03","2015-01-06","rep",2014
272,"B000574","Earl","Earl Blumenauer",29588,"Blumenauer","N00007727",12,"2019-01-03","2017-01-03","rep",2016
273,"B000574","Earl","Earl Blumenauer",29588,"Blumenauer","N00007727",13,"2021-01-03","2019-01-03","rep",2018
274,"B001277","Richard","Richard Blumenthal",41101,"Blumenthal","N00031685",1,"2017-01-03","2011-01-05","sen",2010
275,"B001277","Richard","Richard Blumenthal",41101,"Blumenthal","N00031685",2,"2023-01-03","2017-01-03","sen",2016
283,"B000575","Roy","Roy Blunt",29735,"Blunt","N00005195",8,"2017-01-03","2011-01-05","sen",2010
284,"B000575","Roy","Roy Blunt",29735,"Blunt","N00005195",9,"2023-01-03","2017-01-03","sen",2016
290,"B001236","John","John Boozman",20101,"Boozman","N00013873",6,"2017-01-03","2011-01-05","sen",2010
291,"B001236","John","John Boozman",20101,"Boozman","N00013873",7,"2023-01-03","2017-01-03","sen",2016
299,"B000755","Kevin","Kevin Brady",29760,"Brady","N00005883",8,"2013-01-03","2011-01-05","rep",2010
300,"B000755","Kevin","Kevin Brady",29760,"Brady","N00005883",9,"2015-01-03","2013-01-03","rep",2012
301,"B000755","Kevin","Kevin Brady",29760,"Brady","N00005883",10,"2017-01-03","2015-01-06","rep",2014
302,"B000755","Kevin","Kevin Brady",29760,"Brady","N00005883",11,"2019-01-03","2017-01-03","rep",2016
303,"B000755","Kevin","Kevin Brady",29760,"Brady","N00005883",12,"2021-01-03","2019-01-03","rep",2018
304,"B001274","Mo","Mo Brooks",21193,"Brooks","N00030910",1,"2013-01-03","2011-01-05","rep",2010
305,"B001274","Mo","Mo Brooks",21193,"Brooks","N00030910",2,"2015-01-03","2013-01-03","rep",2012
306,"B001274","Mo","Mo Brooks",21193,"Brooks","N00030910",3,"2017-01-03","2015-01-06","rep",2014
307,"B001274","Mo","Mo Brooks",21193,"Brooks","N00030910",4,"2019-01-03","2017-01-03","rep",2016
308,"B001274","Mo","Mo Brooks",21193,"Brooks","N00030910",5,"2021-01-03","2019-01-03","rep",2018
311,"B001260","Vern","Vern Buchanan",20709,"Buchanan","N00027626",3,"2013-01-03","2011-01-05","rep",2010
312,"B001260","Vern","Vern Buchanan",20709,"Buchanan","N00027626",4,"2015-01-03","2013-01-03","rep",2012
313,"B001260","Vern","Vern Buchanan",20709,"Buchanan","N00027626",5,"2017-01-03","2015-01-06","rep",2014
314,"B001260","Vern","Vern Buchanan",20709,"Buchanan","N00027626",6,"2019-01-03","2017-01-03","rep",2016
315,"B001260","Vern","Vern Buchanan",20709,"Buchanan","N00027626",7,"2021-01-03","2019-01-03","rep",2018
316,"B001275","Larry","Larry Bucshon",21132,"Bucshon","N00031227",1,"2013-01-03","2011-01-05","rep",2010
317,"B001275","Larry","Larry Bucshon",21132,"Bucshon","N00031227",2,"2015-01-03","2013-01-03","rep",2012
318,"B001275","Larry","Larry Bucshon",21132,"Bucshon","N00031227",3,"2017-01-03","2015-01-06","rep",2014
319,"B001275","Larry","Larry Bucshon",21132,"Bucshon","N00031227",4,"2019-01-03","2017-01-03","rep",2016
320,"B001275","Larry","Larry Bucshon",21132,"Bucshon","N00031227",5,"2021-01-03","2019-01-03","rep",2018
325,"B001248","Michael","Michael C. Burgess",20355,"Burgess","N00025219",5,"2013-01-03","2011-01-05","rep",2010
326,"B001248","Michael","Michael C. Burgess",20355,"Burgess","N00025219",6,"2015-01-03","2013-01-03","rep",2012
327,"B001248","Michael","Michael C. Burgess",20355,"Burgess","N00025219",7,"2017-01-03","2015-01-06","rep",2014
328,"B001248","Michael","Michael C. Burgess",20355,"Burgess","N00025219",8,"2019-01-03","2017-01-03","rep",2016
329,"B001248","Michael","Michael C. Burgess",20355,"Burgess","N00025219",9,"2021-01-03","2019-01-03","rep",2018
336,"B001135","Richard","Richard Burr",29548,"Burr","N00002221",7,"2017-01-03","2011-01-05","sen",2010
337,"B001135","Richard","Richard Burr",29548,"Burr","N00002221",8,"2023-01-03","2017-01-03","sen",2016
342,"B001251","George","G. K. Butterfield",20340,"Butterfield","N00027035",5,"2013-01-03","2011-01-05","rep",2010
343,"B001251","George","G. K. Butterfield",20340,"Butterfield","N00027035",6,"2015-01-03","2013-01-03","rep",2012
344,"B001251","George","G. K. Butterfield",20340,"Butterfield","N00027035",7,"2017-01-03","2015-01-06","rep",2014
345,"B001251","George","G. K. Butterfield",20340,"Butterfield","N00027035",8,"2019-01-03","2017-01-03","rep",2016
346,"B001251","George","G. K. Butterfield",20340,"Butterfield","N00027035",9,"2021-01-03","2019-01-03","rep",2018
356,"C000059","Ken","Ken Calvert",29323,"Calvert","N00007099",10,"2013-01-03","2011-01-05","rep",2010
357,"C000059","Ken","Ken Calvert",29323,"Calvert","N00007099",11,"2015-01-03","2013-01-03","rep",2012
358,"C000059","Ken","Ken Calvert",29323,"Calvert","N00007099",12,"2017-01-03","2015-01-06","rep",2014
359,"C000059","Ken","Ken Calvert",29323,"Calvert","N00007099",13,"2019-01-03","2017-01-03","rep",2016
360,"C000059","Ken","Ken Calvert",29323,"Calvert","N00007099",14,"2021-01-03","2019-01-03","rep",2018
