,cand_name,cid,indivs,org_name,pacs,total,cycle
0,Sherrod Brown (D),N00003535,116030,Ohio State University,0,116030,2012
1,Sherrod Brown (D),N00003535,108785,JStreetPAC,2205,110990,2012
2,Sherrod Brown (D),N00003535,101087,Cleveland Clinic,0,101087,2012
3,Sherrod Brown (D),N00003535,72750,Votesane PAC,0,72750,2012
4,Sherrod Brown (D),N00003535,66384,Forest City Enterprises,0,66384,2012
5,Sherrod Brown (D),N00003535,55171,League of Conservation Voters,9211,64382,2012
6,Sherrod Brown (D),N00003535,62155,Case Western Reserve University,0,62155,2012
7,Sherrod Brown (D),N00003535,62000,"Kohrman, Jackson & Krantz",0,62000,2012
8,Sherrod Brown (D),N00003535,57000,Democracy Engine,0,57000,2012
9,Sherrod Brown (D),N00003535,43299,Council for a Livable World,9212,52511,2012
0,Sherrod Brown (D),N00003535,234279,Ohio State University,0,234279,2018
1,Sherrod Brown (D),N00003535,189525,League of Conservation Voters,9999,199524,2018
2,Sherrod Brown (D),N00003535,169166,JStreetPAC,9706,178872,2018
3,Sherrod Brown (D),N00003535,117526,Votesane PAC,0,117526,2018
4,Sherrod Brown (D),N00003535,101801,Cleveland Clinic,0,101801,2018
5,Sherrod Brown (D),N00003535,99946,Case Western Reserve University,0,99946,2018
6,Sherrod Brown (D),N00003535,60049,Baker & Hostetler,10000,70049,2018
7,Sherrod Brown (D),N00003535,61661,Thompson Hine LLP,5000,66661,2018
8,Sherrod Brown (D),N00003535,64496,Jones Day,0,64496,2018
9,Sherrod Brown (D),N00003535,64268,"Kohrman, Jackson & Krantz",0,64268,2018
0,Maria Cantwell (D),N00007836,125224,Microsoft Corp,0,125224,2012
1,Maria Cantwell (D),N00007836,81450,EMILY's List,0,81450,2012
2,Maria Cantwell (D),N00007836,43812,University of Washington,0,43812,2012
3,Maria Cantwell (D),N00007836,40000,Morgan & Morgan,0,40000,2012
4,Maria Cantwell (D),N00007836,39150,League of Conservation Voters,0,39150,2012
5,Maria Cantwell (D),N00007836,34075,Boeing Co,2500,36575,2012
6,Maria Cantwell (D),N00007836,36048,K&L Gates,0,36048,2012
7,Maria Cantwell (D),N00007836,29750,Intellectual Ventures LLC,0,29750,2012
8,Maria Cantwell (D),N00007836,26700,Second Avenue Partners,0,26700,2012
9,Maria Cantwell (D),N00007836,26650,Signal Group,0,26650,2012
0,Maria Cantwell (D),N00007836,113400,Morgan & Morgan,0,113400,2018
1,Maria Cantwell (D),N00007836,110174,Microsoft Corp,0,110174,2018
2,Maria Cantwell (D),N00007836,106010,League of Conservation Voters,-37,105973,2018
3,Maria Cantwell (D),N00007836,63297,University of Washington,0,63297,2018
4,Maria Cantwell (D),N00007836,62506,Amazon.com,0,62506,2018
5,Maria Cantwell (D),N00007836,61317,Boeing Co,0,61317,2018
6,Maria Cantwell (D),N00007836,45762,EMILY's List,0,45762,2018
7,Maria Cantwell (D),N00007836,41800,Democracy Engine,0,41800,2018
8,Maria Cantwell (D),N00007836,40130,Zillow Inc,0,40130,2018
9,Maria Cantwell (D),N00007836,28495,K&L Gates,0,28495,2018
0,Ben Cardin (D),N00001955,31900,Johns Hopkins University,0,31900,2012
1,Ben Cardin (D),N00001955,30000,Rosen Partners,0,30000,2012
2,Ben Cardin (D),N00001955,19000,Exelon Corp,10000,29000,2012
3,Ben Cardin (D),N00001955,26500,T Rowe Price,0,26500,2012
4,Ben Cardin (D),N00001955,18500,DaVita Inc,7500,26000,2012
5,Ben Cardin (D),N00001955,17250,Venable LLP,8500,25750,2012
6,Ben Cardin (D),N00001955,25050,"Gallagher, Evelius & Jones",0,25050,2012
7,Ben Cardin (D),N00001955,14500,DLA Piper,10000,24500,2012
8,Ben Cardin (D),N00001955,12950,CareFirst Blue Cross/Blue Shield,10000,22950,2012
9,Ben Cardin (D),N00001955,18550,NorPAC,4180,22730,2012
0,Ben Cardin (D),N00001955,47200,NorPAC,0,47200,2018
1,Ben Cardin (D),N00001955,23700,Lockheed Martin,10000,33700,2018
2,Ben Cardin (D),N00001955,16250,Guardian Life Insurance,10000,26250,2018
3,Ben Cardin (D),N00001955,22350,Laureate Education,0,22350,2018
4,Ben Cardin (D),N00001955,22250,Delaware Valley Urology,0,22250,2018
5,Ben Cardin (D),N00001955,10000,Select Medical Corp,10000,20000,2018
6,Ben Cardin (D),N00001955,4750,Pakistani American Public Affairs Cmte,14750,19500,2018
7,Ben Cardin (D),N00001955,13100,"Brownstein, Hyatt et al",6000,19100,2018
8,Ben Cardin (D),N00001955,8750,Northwestern Mutual Life Insurance,10000,18750,2018
9,Ben Cardin (D),N00001955,18200,Apollo Management,0,18200,2018
0,Tom Carper (D),N00012508,32600,JPMorgan Chase & Co,10000,42600,2012
1,Tom Carper (D),N00012508,29100,AstraZeneca Pharmaceuticals,10000,39100,2012
2,Tom Carper (D),N00012508,36000,Blackstone Group,0,36000,2012
3,Tom Carper (D),N00012508,25300,Ashland Inc,8720,34020,2012
4,Tom Carper (D),N00012508,19600,DuPont Co,10000,29600,2012
5,Tom Carper (D),N00012508,17750,Wells Fargo,10000,27750,2012
6,Tom Carper (D),N00012508,13250,Discover Financial Services,10000,23250,2012
7,Tom Carper (D),N00012508,12400,NorPAC,10300,22700,2012
8,Tom Carper (D),N00012508,11000,Cigna Corp,9000,20000,2012
