,"cand_name","cid","indivs","org_name","pacs","total","cycle"
0,"James E Clyburn (D)","N00002408",6000,"Massachusetts Mutual Life Insurance",10000,16000,2014
1,"James E Clyburn (D)","N00002408",7500,"Northwestern Mutual Life Insurance",7500,15000,2014
2,"James E Clyburn (D)","N00002408",0,"United Parcel Service",15000,15000,2014
3,"James E Clyburn (D)","N00002408",2250,"Scana Corp",10000,12250,2014
4,"James E Clyburn (D)","N00002408",1500,"NCTA The Internet & Television Assn",10000,11500,2014
5,"James E Clyburn (D)","N00002408",2600,"JStreetPAC",8500,11100,2014
6,"James E Clyburn (D)","N00002408",1000,"Credit Suisse Securities",10000,11000,2014
7,"James E Clyburn (D)","N00002408",1000,"New York Life Insurance",10000,11000,2014
8,"James E Clyburn (D)","N00002408",750,"Fluor Corp",10000,10750,2014
9,"James E Clyburn (D)","N00002408",5500,"Akin, Gump et al",5000,10500,2014
0,"James E Clyburn (D)","N00002408",0,"National Rural Electric Cooperative Assn",13500,13500,2016
1,"James E Clyburn (D)","N00002408",2700,"Google Inc",10000,12700,2016
2,"James E Clyburn (D)","N00002408",2250,"Edison Electric Institute",10000,12250,2016
3,"James E Clyburn (D)","N00002408",2250,"Scana Corp",10000,12250,2016
4,"James E Clyburn (D)","N00002408",1000,"Fluor Corp",10000,11000,2016
5,"James E Clyburn (D)","N00002408",0,"Abbott Laboratories",10000,10000,2016
6,"James E Clyburn (D)","N00002408",0,"AFLAC Inc",10000,10000,2016
7,"James E Clyburn (D)","N00002408",0,"American Academy of Family Physicians",10000,10000,2016
8,"James E Clyburn (D)","N00002408",0,"American Assn for Justice",10000,10000,2016
9,"James E Clyburn (D)","N00002408",0,"American Bankers Assn",10000,10000,2016
0,"James E Clyburn (D)","N00002408",700,"Pfizer Inc",10000,10700,2018
1,"James E Clyburn (D)","N00002408",5500,"McGuireWoods LLP",5000,10500,2018
2,"James E Clyburn (D)","N00002408",500,"Parsons Corp",10000,10500,2018
3,"James E Clyburn (D)","N00002408",5,"Comcast Corp",10000,10005,2018
4,"James E Clyburn (D)","N00002408",0,"Abbott Laboratories",10000,10000,2018
5,"James E Clyburn (D)","N00002408",0,"AECOM US",10000,10000,2018
6,"James E Clyburn (D)","N00002408",0,"AFLAC Inc",10000,10000,2018
7,"James E Clyburn (D)","N00002408",0,"Altria Group",10000,10000,2018
8,"James E Clyburn (D)","N00002408",0,"American Assn for Justice",10000,10000,2018
9,"James E Clyburn (D)","N00002408",0,"American Council of Engineering Cos",10000,10000,2018
0,"Steve Cohen (D)","N00003225",11200,"Franklin L Haney Co",0,11200,2010
1,"Steve Cohen (D)","N00003225",1000,"FedEx Corp",10000,11000,2010
2,"Steve Cohen (D)","N00003225",5600,"Flh Co",0,5600,2010
3,"Steve Cohen (D)","N00003225",5600,"Global Crop Diversity Trust",0,5600,2010
4,"Steve Cohen (D)","N00003225",5600,"Guardsmark LLC",0,5600,2010
5,"Steve Cohen (D)","N00003225",5600,"Sol Goldman Investments",0,5600,2010
6,"Steve Cohen (D)","N00003225",0,"American Assn for Justice",5000,5000,2010
7,"Steve Cohen (D)","N00003225",0,"International Brotherhood of Electrical Workers",5000,5000,2010
8,"Steve Cohen (D)","N00003225",0,"Machinists/Aerospace Workers Union",5000,5000,2010
9,"Steve Cohen (D)","N00003225",0,"Transport Workers Union",5000,5000,2010
