,cand_name,cid,indivs,org_name,pacs,total,cycle
0,Tom Reed (R),N00030949,24500,Corning Inc,5000,29500,2009
1,Tom Reed (R),N00030949,0,L3Harris Technologies,15000,15000,2009
2,Tom Reed (R),N00030949,5600,Bank of America,5000,10600,2009
3,Tom Reed (R),N00030949,10599,NASCAR,0,10599,2009
4,Tom Reed (R),N00030949,10500,Breakthru Beverage Group,0,10500,2009
5,Tom Reed (R),N00030949,0,American Chiropractic Assn,10000,10000,2009
6,Tom Reed (R),N00030949,0,American Hotel & Lodging Assn,10000,10000,2009
7,Tom Reed (R),N00030949,9474,Bernard Marcus Family Foundation,0,9474,2009
8,Tom Reed (R),N00030949,7600,Putnam Investments,1520,9120,2009
9,Tom Reed (R),N00030949,0,Raytheon Co,8500,8500,2009
0,Tom Reed (R),N00030949,24500,Corning Inc,5000,29500,2010
1,Tom Reed (R),N00030949,0,L3Harris Technologies,15000,15000,2010
2,Tom Reed (R),N00030949,5600,Bank of America,5000,10600,2010
3,Tom Reed (R),N00030949,10599,NASCAR,0,10599,2010
4,Tom Reed (R),N00030949,10500,Breakthru Beverage Group,0,10500,2010
5,Tom Reed (R),N00030949,0,American Chiropractic Assn,10000,10000,2010
6,Tom Reed (R),N00030949,0,American Hotel & Lodging Assn,10000,10000,2010
7,Tom Reed (R),N00030949,9474,Bernard Marcus Family Foundation,0,9474,2010
8,Tom Reed (R),N00030949,7600,Putnam Investments,1520,9120,2010
9,Tom Reed (R),N00030949,0,Raytheon Co,8500,8500,2010
0,Tom Reed (R),N00030949,47000,Corning Inc,13000,60000,2012
1,Tom Reed (R),N00030949,24000,Elliott Management,0,24000,2012
2,Tom Reed (R),N00030949,14321,Otis Eastern,0,14321,2012
3,Tom Reed (R),N00030949,0,Honeywell International,13133,13133,2012
4,Tom Reed (R),N00030949,0,Tuesday Group PAC,12500,12500,2012
5,Tom Reed (R),N00030949,11500,Elliott Assoc,0,11500,2012
6,Tom Reed (R),N00030949,500,Chesapeake Energy,10000,10500,2012
7,Tom Reed (R),N00030949,8750,Alston & Bird,1250,10000,2012
8,Tom Reed (R),N00030949,0,American Bankers Assn,10000,10000,2012
9,Tom Reed (R),N00030949,0,American College of Radiology,10000,10000,2012
0,Tom Reed (R),N00030949,98900,Elliott Management,0,98900,2014
1,Tom Reed (R),N00030949,55130,Corning Inc,10000,65130,2014
2,Tom Reed (R),N00030949,13400,Constellation Brands,10000,23400,2014
3,Tom Reed (R),N00030949,12250,Ernst & Young,9000,21250,2014
4,Tom Reed (R),N00030949,7700,Alston & Bird,10000,17700,2014
5,Tom Reed (R),N00030949,17499,Blackstone Group,0,17499,2014
6,Tom Reed (R),N00030949,16900,Royalty Pharma,0,16900,2014
7,Tom Reed (R),N00030949,5950,Nucor Corp,10000,15950,2014
8,Tom Reed (R),N00030949,6000,Nixon Peabody LLP,9900,15900,2014
9,Tom Reed (R),N00030949,3750,Massachusetts Mutual Life Insurance,10000,13750,2014
0,Tom Reed (R),N00030949,52700,Corning Inc,10000,62700,2016
1,Tom Reed (R),N00030949,48100,Blackstone Group,0,48100,2016
2,Tom Reed (R),N00030949,10800,Constellation Brands,10000,20800,2016
3,Tom Reed (R),N00030949,10000,Ernst & Young,9500,19500,2016
4,Tom Reed (R),N00030949,18350,Otis Eastern,0,18350,2016
5,Tom Reed (R),N00030949,8100,Nucor Corp,10000,18100,2016
6,Tom Reed (R),N00030949,5400,International Speedway,10000,15400,2016
7,Tom Reed (R),N00030949,6000,Nixon Peabody LLP,8400,14400,2016
8,Tom Reed (R),N00030949,11025,Park Outdoor Advertising of New York,0,11025,2016
9,Tom Reed (R),N00030949,1000,General Electric,10000,11000,2016
