,cand_name,cid,indivs,org_name,pacs,total,cycle
0,Bobby Scott (D),N00002147,10400,ECPI College of Technology,0,10400,2010
1,Bobby Scott (D),N00002147,0,UNITE HERE,10000,10000,2010
2,Bobby Scott (D),N00002147,0,Huntington Ingalls Industries,6500,6500,2010
3,Bobby Scott (D),N00002147,0,United Mine Workers of America,6500,6500,2010
4,Bobby Scott (D),N00002147,1000,Norfolk Southern,5000,6000,2010
5,Bobby Scott (D),N00002147,5600,Emerson Collective,0,5600,2010
6,Bobby Scott (D),N00002147,5600,RLJ Companies,0,5600,2010
7,Bobby Scott (D),N00002147,250,American Federation of State/Cnty/Munic Employees,5000,5250,2010
8,Bobby Scott (D),N00002147,0,Adtalem Global Education,5000,5000,2010
9,Bobby Scott (D),N00002147,5000,Allied Health Professions PAC,0,5000,2010
0,Bobby Scott (D),N00002147,4500,Huntington Ingalls Industries,9500,14000,2012
1,Bobby Scott (D),N00002147,5250,Dominion Resources,5500,10750,2012
2,Bobby Scott (D),N00002147,0,American Assn for Justice,10000,10000,2012
3,Bobby Scott (D),N00002147,0,American Federation of Teachers,10000,10000,2012
4,Bobby Scott (D),N00002147,0,American Postal Workers Union,10000,10000,2012
5,Bobby Scott (D),N00002147,0,Carpenters & Joiners Union,10000,10000,2012
6,Bobby Scott (D),N00002147,0,International Brotherhood of Electrical Workers,10000,10000,2012
7,Bobby Scott (D),N00002147,0,Laborers Union/Mid-Atlantic,10000,10000,2012
8,Bobby Scott (D),N00002147,0,National Education Assn,10000,10000,2012
9,Bobby Scott (D),N00002147,0,Operating Engineers Union,10000,10000,2012
0,Bobby Scott (D),N00002147,5750,Dominion Resources,10000,15750,2014
1,Bobby Scott (D),N00002147,0,American Assn for Justice,10000,10000,2014
2,Bobby Scott (D),N00002147,0,American Federation of State/Cnty/Munic Employees,10000,10000,2014
3,Bobby Scott (D),N00002147,0,American Federation of Teachers,10000,10000,2014
4,Bobby Scott (D),N00002147,0,Capital Group Companies,10000,10000,2014
5,Bobby Scott (D),N00002147,0,Cox Enterprises,10000,10000,2014
6,Bobby Scott (D),N00002147,0,Huntington Ingalls Industries,10000,10000,2014
7,Bobby Scott (D),N00002147,0,International Assn of Fire Fighters,10000,10000,2014
8,Bobby Scott (D),N00002147,0,International Brotherhood of Electrical Workers,10000,10000,2014
9,Bobby Scott (D),N00002147,0,Laborers Union,10000,10000,2014
0,Bobby Scott (D),N00002147,3000,Norfolk Southern,10000,13000,2016
1,Bobby Scott (D),N00002147,4850,Huntington Ingalls Industries,8000,12850,2016
2,Bobby Scott (D),N00002147,0,American Assn for Justice,10000,10000,2016
3,Bobby Scott (D),N00002147,0,American Federation of State/Cnty/Munic Employees,10000,10000,2016
4,Bobby Scott (D),N00002147,0,American Federation of Teachers,10000,10000,2016
5,Bobby Scott (D),N00002147,0,American Postal Workers Union,10000,10000,2016
6,Bobby Scott (D),N00002147,0,Communications Workers of America,10000,10000,2016
7,Bobby Scott (D),N00002147,0,International Assn of Fire Fighters,10000,10000,2016
8,Bobby Scott (D),N00002147,0,International Brotherhood of Electrical Workers,10000,10000,2016
9,Bobby Scott (D),N00002147,0,Ironworkers Union,10000,10000,2016
0,Bobby Scott (D),N00002147,8250,Dominion Energy,8000,16250,2018
1,Bobby Scott (D),N00002147,0,Plumbers/Pipefitters Union,15000,15000,2018
2,Bobby Scott (D),N00002147,5000,Service Employees International Union,10000,15000,2018
3,Bobby Scott (D),N00002147,4950,Huntington Ingalls Industries,10000,14950,2018
4,Bobby Scott (D),N00002147,2750,Norfolk Southern,10000,12750,2018
5,Bobby Scott (D),N00002147,0,American Assn for Justice,10000,10000,2018
6,Bobby Scott (D),N00002147,0,American Crystal Sugar,10000,10000,2018
7,Bobby Scott (D),N00002147,0,American Federation of State/Cnty/Munic Employees,10000,10000,2018
8,Bobby Scott (D),N00002147,0,American Federation of Teachers,10000,10000,2018
9,Bobby Scott (D),N00002147,0,Forward Together PAC,10000,10000,2018
