,cand_name,cid,indivs,org_name,pacs,total,cycle
0,Nancy Pelosi (D),N00007360,16800,"Kleiner, Perkins et al",0,16800,2020
1,Nancy Pelosi (D),N00007360,11221,Facebook Inc,5000,16221,2020
2,Nancy Pelosi (D),N00007360,14347,Walt Disney Co,0,14347,2020
3,Nancy Pelosi (D),N00007360,8175,Arnold & Porter Kaye Scholer,5000,13175,2020
4,Nancy Pelosi (D),N00007360,13042,Stanford University,0,13042,2020
5,Nancy Pelosi (D),N00007360,12600,Subject Matter,0,12600,2020
6,Nancy Pelosi (D),N00007360,2500,Goldman Sachs,10000,12500,2020
7,Nancy Pelosi (D),N00007360,7500,Polsinelli PC,5000,12500,2020
8,Nancy Pelosi (D),N00007360,11850,Uni-Trade Forwarding,0,11850,2020
9,Nancy Pelosi (D),N00007360,11700,Daschle Group,0,11700,2020
0,Nancy Pelosi (D),N00007360,5500,Facebook Inc,10000,15500,2018
1,Nancy Pelosi (D),N00007360,11650,Salesforce.com,2500,14150,2018
2,Nancy Pelosi (D),N00007360,5560,Intel Corp,7500,13060,2018
3,Nancy Pelosi (D),N00007360,2750,Amazon.com,10000,12750,2018
4,Nancy Pelosi (D),N00007360,1931,Google Inc,10000,11931,2018
5,Nancy Pelosi (D),N00007360,1000,National Football League,10000,11000,2018
6,Nancy Pelosi (D),N00007360,10830,"Lieff, Cabraser et al",0,10830,2018
7,Nancy Pelosi (D),N00007360,10800,Certain Software Inc,0,10800,2018
8,Nancy Pelosi (D),N00007360,10800,Flynn Investments,0,10800,2018
9,Nancy Pelosi (D),N00007360,10800,Puma Springs Vineyards,0,10800,2018
0,Nancy Pelosi (D),N00007360,6450,Facebook Inc,10000,16450,2016
1,Nancy Pelosi (D),N00007360,5875,Google Inc,10000,15875,2016
2,Nancy Pelosi (D),N00007360,5400,Intel Corp,10000,15400,2016
3,Nancy Pelosi (D),N00007360,1566,Boeing Co,10000,11566,2016
4,Nancy Pelosi (D),N00007360,892,Oracle Corp,10000,10892,2016
5,Nancy Pelosi (D),N00007360,10800,Certain Software Inc,0,10800,2016
6,Nancy Pelosi (D),N00007360,10800,Mackenzie Capital Management,0,10800,2016
7,Nancy Pelosi (D),N00007360,10800,Marcus & Millichap,0,10800,2016
8,Nancy Pelosi (D),N00007360,10800,Peter G Peterson Foundation,0,10800,2016
9,Nancy Pelosi (D),N00007360,10800,R&S Assoc,0,10800,2016
